word,ipa,meaningVi,definitionEn,exampleEn,exampleVi,partOfSpeech,level
to deplete natural resources,,làm suy giảm nguồn tài nguyên thiên nhiên,To reduce the amount of natural resources.,"Timber
companies
must
not
be
allowed
to deplete
naturalresources by cutting down trees without planting new trees to
replace them.","Công ty Timber không được phép làm suy giảm nguồn tài nguyên
thiên nhiên khi chặt cây mà không trồng mới.",phrase,IELTS
ozone layer depletion,,sự suy giảm tầng ozon,"refers to a steady decline in the total amount of ozone in the
Earth's atmosphere","Ozone layer depletion has the effect of allowing harmful
radiation from the sun to penetrate the atmosphere and this increases the
risk to humans of skin cancer.","Sự suy giảm tầng ozon gây ra ảnh hưởng tiêu cực khi cho phép bức
xạ có hại từ mặt trời xâm nhập bầu khí quyển và điều này làm tăng nguy
cơ gây ung thư da.",phrase,IELTS
an ecological crisis,,khủng hoảng sinh thái,"a serious situation that occurs when the environment of a
species or a population changes in a way that destabilizes its continued
survival","Environmental degradation caused by human activity is
provoking an ecological crisis which threatens our existence.","Suy thoái môi trường do những hoạt động của con người đang tạo
ra khủng hoảng sinh thái đe dọa sự tồn tại của chúng ta.",phrase,IELTS
carbon footprint,,Dấu chân carbon,"a measure of the amount of carbon dioxide that is produced by
the daily activities of a company or person","By providing subsidies, governments should encourage
companies to reduce their carbon footprint through energy efficiency or
other ‘green measures'.","Bằng việc trợ cấp, chính phủ các nước khuyến khích các doanh
nghiệp giảm dấu chân carbon qua việc sử dụng năng lượng hiệu quả hay
các biện pháp xanh khác.",phrase,IELTS
to cut down on emissions,,giảm lượng khí thải,to reduce the amount of gases sent out into the air,"People must be made aware of the need tocut down on
emissions from their cars if we are to reduce air pollution.","Mọi người cần có ý thức về sự cần thiết của việc giảm lượng khí thải
từ xe ô tô nếu chúng ta muốn giảm ô nhiễm không khí.",phrase,IELTS
to fight climate change,,ngăn chặn biến đổi khí hậu,"To try to prevent changes in climate patterns, such as rainfall,
temperature and winds.","Unless we consume less of the Earth's natural resources, it will be
impossible to fight climate change and safeguard our future.","Trừ khi chúng ta tiêu thụ ít tài nguyên thiên nhiên hơn, nếu không
việc ngăn chặn biến đổi khí hậu và đảm bảo cho tương lai sẽ là bất khả thi.",phrase,IELTS
to reduce the dependence/reliance on fossil fuels,,"giảm sự phụ thuộc vào nhiên liệu
hóa thạch","to decrease people's consumption of fossil fuels, like oil, coal or
gas.","Governments must invest heavily in solar and wind energy
projects in order to reduce our dependence/reliance on fossil fuels.","Các nước đầu tư cao vào năng lượng mặt trời và năng lượng gió để
giảm sự phụ thuộc vào nhiên liệu hóa thạch.",phrase,IELTS
to alleviate environmental problems,,giảm nhẹ các vấn đề môi trường,to make bad environmental problems less severe,"Everyone
can
assist
in
the
effort
to
alleviate
environmentalproblems in the local community through simple actions
such as recycling waste or planting a tree in their garden.","Mọi người đều có thể góp phần làm giảm nhẹ các vấn đề môi
trường tại địa phương qua những hành động nhỏ như tái chế rác và trồng
cây trong vườn.",phrase,IELTS
to throw one's weigh behind sth,,nhờ ai ủng hộ cái gì,To use one's influence to help support,"The council is to throw its weight behind a campaign to save
one of the borough's best-loved beauty spots.","Hội đồng đang sử dụng sức ảnh hưởng của mình để ủng hộ một
chiến dịch gìn giữ một điểm đến đẹp nhất của quận.",phrase,IELTS
to hold sbdy accountable for + noun/gerund,,đổ trách nhiệm cho ai,"to consider someone responsible for something; to blame
something on someone","Companies which discharge chemical waste from their factories
into the sea or into rivers must be held accountable for their actions and
be fined heavily.","Các công ty xả rác thải hóa chất từ nhà máy ra biển hoặc sông hồ
cần phải chịu trách nhiệm cho hành động của mình và bị phạt nặng.",phrase,IELTS
to achieve sustainable development,,đạt được sự phát triển bền vững,"economic development that is achieved without depleting
natural resources","Organic methods must be introduced everywhere in order to
achieve sustainable development in agriculture.","Các phương pháp hữu cơ được quảng bá khắp nơi để đạt được sự
phát triển bền vững trong nông nghiệp.",phrase,IELTS
alternative energy sources,,các nguồn năng lượng thay thế,refers to any energy source that is an alternative to fossil fuel,"Clean energy which does not pollute the Earth can only come
from greater reliance on alternative energy sources.","Năng lượng sạch, không gây hại cho Trái đất chỉ có là những nguồn
năng lượng thay thế.",phrase,IELTS
food miles,,đường đi của thực phẩm,"Distance food has to travel between where it is grown or made
and where it is consumed","We can all reduce our carbon footprint by flying less, and reduce
our food miles by buying local products.","Chúng ta có thể giảm lượng carbon thải ra bằng cách dùng máy bay
ít hơn và giảm đường đi của thực phẩm bằng cách mua các sản phẩm địa
phương.",phrase,IELTS
captive breeding,,nuôi lấy giống trong môi trường nuôi nhốt,"the reproduction of animals in confinement, not in their natural
habitats.","A successful captive breeding program in zoos has resulted in
an increase in the world's panda population.","Một chương trình nuôi lấy giống trong môi trường nuôi nhốt ở các
sở thú thành công đã dẫn đến số lượng loài gấu trúc trên thế giới tăng lên.",phrase,IELTS
to stem from,,bắt nguồn từ,to be caused by,"Scientists say that global warming partly stems from the increase
in car exhaust emissions.","Các nhà khoa học cho rằng sự nóng lên toàn cầu 1 phần bắt nguồn
từ lượng khí thải của xe ô tô tăng lên.",phrase,IELTS
environmental impact assessment,,đánh giá sự ảnh hưởng tới môi trường,"a study into how a development, like a new road, a new dam or
other construction activity will affect the plants, animals and local
communities living in an area.","The
government
must
commission
an
independent
environmental impact assessment whenever a new development is
proposed.","Chính phủ phải ủy thác cho thực hiện một cách độc lập việc đánh
giá những ảnh hưởng đến môi trường mỗi khi một dự án xây dựng mới
được thông qua.",phrase,IELTS
the greenhouse effect,,hiệu ứng nhà kính,"the natural process by which the sun warms the surface of the
Earth.
The greenhouse effect occurs when Earth's atmosphere traps solar
radiation because of the presence of certain gases, which causes short
wavelength visible sunlight shines through the glass panes and warms the
air and the plants inside.","Our burning of fossil fuels is increasing the greenhouse effect
and making the Earth hotter, endangering all life on the planet.","Việc chúng ta đốt nhiên liệu hóa thạch khiến hiệu ứng nhà kính tăng
lên và Trái đất nóng lên, gây nguy hiểm cho sự sống trên hành tinh này.",phrase,IELTS
